All the (i , j) couples found by order followd by the value of the window:
(367 , 555) : 0x33995    The Gfunc we coded: 10001011011110111
(1116 , 1128) : 0x12F92    The Gfunc we coded: 10001010010101111
(2402 , 2469) : 0x29B39    The Gfunc we coded: 10001010101011111

(2661 , 2686) : 0x12ED2    The Gfunc we coded: 10001010011010101
(3044 , 3209) : 0x2557C    The Gfunc we coded: 10001011010111001
(5225 , 5314) : 0x3F24E    The Gfunc we coded: 10001010110100111

(5752 , 5820) : 0x29525    The Gfunc we coded: 10001010101100101
(6442 , 6554) : 0x1CE55    The Gfunc we coded: 10001010111100101
(6525 , 6618) : 0x26992    The Gfunc we coded: 10001010110101111

(6497 , 6633) : 0x3D293    The Gfunc we coded: 10001011001100101
(7108 , 7154) : 0x39C96    The Gfunc we coded: 10001010100101001
(7343 , 7407) : 0x13499    The Gfunc we coded: 10001010101011001

(7560 , 7592) : 0x352E5    The Gfunc we coded: 10001010011100111
(8098 , 8144) : 0x3BCCB    The Gfunc we coded: 10001010100101001
(8402 , 8513) : 0x24AAC    The Gfunc we coded: 10001010111011111

(8454 , 8664) : 0x3F726    The Gfunc we coded: 10001011101010011
(8731 , 8789) : 0x19A49    The Gfunc we coded: 10001010101001011
(9219 , 9441) : 0x14E66    The Gfunc we coded: 10001011101101111

(9289 , 9476) : 0x134F4    The Gfunc we coded: 10001011011110101
(10120 , 10226) : 0x12549    The Gfunc we coded: 10001010111010101
(10126 , 10355) : 0x1524C    The Gfunc we coded: 10001011101111111

(11116 , 11275) : 0x14F59    The Gfunc we coded: 10001011010101011
(11137 , 11308) : 0x36664    The Gfunc we coded: 10001011011001101
(11518 , 11733) : 0x1CF9E    The Gfunc we coded: 10001011101011101

(11637 , 11786) : 0x2CFF5    The Gfunc we coded: 10001011010010011
(11908 , 12059) : 0x24924    The Gfunc we coded: 10001011010010111
(12457 , 12541) : 0x194DB    The Gfunc we coded: 10001010110011001

(13011 , 13179) : 0x17F35    The Gfunc we coded: 10001011010111111
(15232 , 15359) : 0x33324    The Gfunc we coded: 10001011001001101
(15311 , 15461) : 0x27327    The Gfunc we coded: 10001011010010101

(15466 , 15567) : 0x1A572    The Gfunc we coded: 10001010111001001
(15519 , 15664) : 0x353A7    The Gfunc we coded: 10001011001111001
(16207 , 16407) : 0x24EA7    The Gfunc we coded: 10001011100110101

(16774 , 16852) : 0x29B3F    The Gfunc we coded: 10001010101111011
(17266 , 17353) : 0x32597    The Gfunc we coded: 10001010110011111
(17465 , 17569) : 0x24ED9    The Gfunc we coded: 10001010111001111

(17741 , 17944) : 0x2CE4F    The Gfunc we coded: 10001011100111011
(17845 , 17966) : 0x17BF2    The Gfunc we coded: 10001010111111001
(17968 , 18043) : 0xAFCB    The Gfunc we coded: 10001010101110101

(17905 , 18092) : 0x33999    The Gfunc we coded: 10001011011110101
(18252 , 18320) : 0x24CCB    The Gfunc we coded: 10001010101100101
(19647 , 19769) : 0x259BC    The Gfunc we coded: 10001010111111011

(19794 , 19991) : 0x12B35    The Gfunc we coded: 10001011100101101
(20199 , 20322) : 0x24CCE    The Gfunc we coded: 10001010111111101
(20289 , 20403) : 0x153B9    The Gfunc we coded: 10001010111101001

(20217 , 20441) : 0x1A4EB    The Gfunc we coded: 10001011101110101
(20658 , 20788) : 0x14A65    The Gfunc we coded: 10001011001010101
(20995 , 21201) : 0x19993    The Gfunc we coded: 10001011101001001

(21377 , 21382) : 0x294A5    The Gfunc we coded: 10001010010011101
(21461 , 21548) : 0x12792    The Gfunc we coded: 10001010110011111
(21574 , 21577) : 0x12492    The Gfunc we coded: 10001010010011001

(21533 , 21619) : 0x19CD4    The Gfunc we coded: 10001010110011101
(22327 , 22343) : 0x12669    The Gfunc we coded: 10001010010111001
(22974 , 23202) : 0x32492    The Gfunc we coded: 10001011101111101

(23008 , 23217) : 0x14AE4    The Gfunc we coded: 10001011101001111
(23315 , 23511) : 0x2A929    The Gfunc we coded: 10001011100101011
(24128 , 24143) : 0x3299E    The Gfunc we coded: 10001010010110111

(24246 , 24270) : 0x14999    The Gfunc we coded: 10001010011010011
(25637 , 25831) : 0x25367    The Gfunc we coded: 10001011100100111
(26054 , 26057) : 0x24924    The Gfunc we coded: 10001010010011001

(26000 , 26078) : 0x2A493    The Gfunc we coded: 10001010101111011
(27158 , 27254) : 0x2B249    The Gfunc we coded: 10001010110110111
(27575 , 27649) : 0x1CED2    The Gfunc we coded: 10001010101110011

(27742 , 27805) : 0x1D393    The Gfunc we coded: 10001010101010111
(27947 , 28038) : 0x2D3ED    The Gfunc we coded: 10001010110101011
(28207 , 28442) : 0x14AF9    The Gfunc we coded: 10001011110011101

(28775 , 28941) : 0x1DE92    The Gfunc we coded: 10001011010111011
(28955 , 29017) : 0x1B329    The Gfunc we coded: 10001010101010101
(29091 , 29156) : 0x249DB    The Gfunc we coded: 10001010101011011

(29509 , 29592) : 0x12667    The Gfunc we coded: 10001010110010111
(29684 , 29716) : 0x1E4D2    The Gfunc we coded: 10001010011100111
(32126 , 32148) : 0x2C996    The Gfunc we coded: 10001010011001101

