All the (i , j) couples found by order followd by the value of the window:
(826 , 883) : 0x3F2C9    The Gfunc we coded: 10001010101001001
(903 , 1088) : 0x1DDE5    The Gfunc we coded: 10001011011101111
(1154 , 1219) : 0x164E9    The Gfunc we coded: 10001010101011011

(1303 , 1385) : 0x26949    The Gfunc we coded: 10001010110010101
(1295 , 1489) : 0x12E69    The Gfunc we coded: 10001011100100111
(2906 , 2974) : 0x3E92D    The Gfunc we coded: 10001010101100101

(2890 , 3062) : 0x27273    The Gfunc we coded: 10001011011001111
(3011 , 3197) : 0x26497    The Gfunc we coded: 10001011011110011
(3119 , 3342) : 0x2E4C9    The Gfunc we coded: 10001011101110011

(3385 , 3420) : 0x24F93    The Gfunc we coded: 10001010011101101
(3426 , 3533) : 0x2769E    The Gfunc we coded: 10001010111010111
(3696 , 3821) : 0x136CB    The Gfunc we coded: 10001011001001001

(4465 , 4675) : 0x33399    The Gfunc we coded: 10001011101010011
(4711 , 4938) : 0x12726    The Gfunc we coded: 10001011101111011
(4867 , 4976) : 0x3A6AC    The Gfunc we coded: 10001010111011011

(5087 , 5142) : 0x2993A    The Gfunc we coded: 10001010100111101
(5642 , 5701) : 0x15369    The Gfunc we coded: 10001010101001101
(6013 , 6095) : 0x1267E    The Gfunc we coded: 10001010110010101

(6347 , 6396) : 0x19C92    The Gfunc we coded: 10001010100101111
(7318 , 7496) : 0x12D92    The Gfunc we coded: 10001011011011101
(7866 , 8099) : 0x2A595    The Gfunc we coded: 10001011110011001

(8186 , 8254) : 0x1C93A    The Gfunc we coded: 10001010101100101
(8759 , 8874) : 0x269FC    The Gfunc we coded: 10001010111101011
(9057 , 9076) : 0x339F9    The Gfunc we coded: 10001010010111111

(8995 , 9159) : 0x2666D    The Gfunc we coded: 10001011010110111
(8990 , 9221) : 0x29333    The Gfunc we coded: 10001011110010101
(10127 , 10354) : 0x25999    The Gfunc we coded: 10001011101111011

(10559 , 10748) : 0x24D2D    The Gfunc we coded: 10001011011111001
(11951 , 11984) : 0x24BF3    The Gfunc we coded: 10001010011101001
(11939 , 12106) : 0x264A4    The Gfunc we coded: 10001011010111101

(12209 , 12246) : 0x19369    The Gfunc we coded: 10001010011110011
(12353 , 12377) : 0x276DE    The Gfunc we coded: 10001010011010011
(12531 , 12540) : 0x192C9    The Gfunc we coded: 10001010010101001

(12492 , 12553) : 0x25293    The Gfunc we coded: 10001010101010011
(13041 , 13078) : 0x33277    The Gfunc we coded: 10001010011110011
(13033 , 13132) : 0x24F32    The Gfunc we coded: 10001010110111101

(13117 , 13146) : 0x2A664    The Gfunc we coded: 10001010011011101
(13239 , 13266) : 0x1925F    The Gfunc we coded: 10001010011011001
(13181 , 13334) : 0x25969    The Gfunc we coded: 10001011010011011

(13283 , 13393) : 0x3D27A    The Gfunc we coded: 10001010111011101
(13607 , 13631) : 0x127E9    The Gfunc we coded: 10001010011010011
(13841 , 14030) : 0x2D493    The Gfunc we coded: 10001011011111001

(14514 , 14601) : 0x32C9B    The Gfunc we coded: 10001010110011111
(15438 , 15624) : 0x393BD    The Gfunc we coded: 10001011011110011
(15670 , 15735) : 0x29939    The Gfunc we coded: 10001010101011011

(15968 , 16053) : 0x1C94D    The Gfunc we coded: 10001010110011011
(15982 , 16189) : 0x352A6    The Gfunc we coded: 10001011101001011
(16123 , 16247) : 0x39499    The Gfunc we coded: 10001010111111111

(16272 , 16344) : 0x27B27    The Gfunc we coded: 10001010101101101
(16713 , 16736) : 0x14E49    The Gfunc we coded: 10001010011001111
(16589 , 16759) : 0x273AD    The Gfunc we coded: 10001011011001011

(16842 , 16993) : 0x33CC9    The Gfunc we coded: 10001011010010111
(17362 , 17384) : 0x249CD    The Gfunc we coded: 10001010011001101
(17352 , 17470) : 0x2A492    The Gfunc we coded: 10001010111110011

(17673 , 17854) : 0x2692A    The Gfunc we coded: 10001011011100111
(17894 , 17956) : 0x2664E    The Gfunc we coded: 10001010101010101
(18208 , 18290) : 0x33964    The Gfunc we coded: 10001010110010101

(18563 , 18601) : 0x14B4F    The Gfunc we coded: 10001010011110101
(18547 , 18632) : 0x2B269    The Gfunc we coded: 10001010110011011
(19429 , 19461) : 0x1BF92    The Gfunc we coded: 10001010011100111

(19629 , 19715) : 0x254BD    The Gfunc we coded: 10001010110011101
